,0,1,2,3,4,5,6,7,8
,0,1,2,3,4,5,6,7,8
0,967598,5,1977250,1269992,0.99,6085,0.007,4077,0.003
,0,1,2,3,4,5,6,7,8
0,57286314933,5,5581,737,0.96,11,0.014,17,0.026
,0,1,2,3,4,5,6,7,8
0,903409,5,1047748,526381,0.99,1607,0.009,967,0.001
,0,1,2,3,4,5,6,7,8
0,100014312634,5,12672,1561,0.99,13,0.01,1,0.0
,0,1,2,3,4,5,6,7,8
0,63120758247,5,19525,3619,0.96,65,0.025,59,0.015
,0,1,2,3,4,5,6,7,8
0,100004183095,5,106729,44331,0.99,143,0.009,85,0.001
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100004485148,5,14061,2756,0.97,43,0.024,17,0.006
,0,1,2,3,4,5,6,7,8
0,100006462248,5,35810,6483,0.96,134,0.024,110,0.016
,0,1,2,3,4,5,6,7,8
0,100005094732,5,109788,21798,0.98,218,0.013,158,0.007
,0,1,2,3,4,5,6,7,8
0,23031787767,5,45249,23631,0.97,281,0.02,262,0.01
,0,1,2,3,4,5,6,7,8
0,100009750821,5,1488,492,0.98,6,0.015,3,0.005
,0,1,2,3,4,5,6,7,8
0,11945142500,5,36484,10721,0.98,68,0.006,71,0.014
,0,1,2,3,4,5,6,7,8
0,10024502581460,5,3,2,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100013389522,5,94156,10980,0.99,44,0.01,10,0.0
,0,1,2,3,4,5,6,7,8
0,1116717628,5,2914,1310,0.98,7,0.005,13,0.015
,0,1,2,3,4,5,6,7,8
0,52689761525,5,9176,1593,0.98,12,0.016,8,0.004
,0,1,2,3,4,5,6,7,8
0,100006592572,5,21390,3253,0.99,26,0.009,5,0.001
,0,1,2,3,4,5,6,7,8
0,730618,5,149436,100397,0.98,564,0.015,535,0.005
,0,1,2,3,4,5,6,7,8
0,100002836855,5,13007,1834,0.99,4,0.009,3,0.001
,0,1,2,3,4,5,6,7,8
0,64436035016,5,5161,905,0.98,11,0.013,7,0.007
,0,1,2,3,4,5,6,7,8
0,100016362606,5,60664,30030,0.99,145,0.008,64,0.002
,0,1,2,3,4,5,6,7,8
0,100008083407,5,7526,1256,0.97,24,0.026,6,0.004
,0,1,2,3,4,5,6,7,8
0,100002153554,5,25453,6032,0.98,63,0.016,28,0.004
,0,1,2,3,4,5,6,7,8
0,777038,5,88388,48000,0.98,492,0.015,266,0.005
,0,1,2,3,4,5,6,7,8
0,1178879,5,1400332,816829,0.99,2377,0.009,1587,0.001
,0,1,2,3,4,5,6,7,8
0,100005822120,5,2419415,577171,0.99,2799,0.007,1914,0.003
,0,1,2,3,4,5,6,7,8
0,6888601,5,1677693,480155,0.99,2634,0.008,1326,0.002
,0,1,2,3,4,5,6,7,8
0,10024301650712,5,1812,367,0.93,15,0.047,9,0.023
,0,1,2,3,4,5,6,7,8
0,40475690795,5,5241,1182,0.98,13,0.016,6,0.004
,0,1,2,3,4,5,6,7,8
0,903403,5,1047781,526419,0.99,1607,0.009,967,0.001
,0,1,2,3,4,5,6,7,8
0,1178877,5,704174,474232,0.99,1662,0.008,1026,0.002
,0,1,2,3,4,5,6,7,8
0,15970403965,5,10166,4634,0.98,53,0.015,27,0.005
,0,1,2,3,4,5,6,7,8
0,8527048,5,52535,16876,0.99,59,0.009,27,0.001
,0,1,2,3,4,5,6,7,8
0,4491965,5,166551,102393,0.99,270,0.009,156,0.001
,0,1,2,3,4,5,6,7,8
0,54320471463,5,32914,6938,0.96,128,0.028,93,0.012
,0,1,2,3,4,5,6,7,8
0,326437,5,225613,184129,0.99,742,0.009,282,0.001
,0,1,2,3,4,5,6,7,8
0,8527048,5,52535,16876,0.99,59,0.009,27,0.001
,0,1,2,3,4,5,6,7,8
0,320468,5,14242,7786,0.97,173,0.024,56,0.006
,0,1,2,3,4,5,6,7,8
0,8237143,5,391958,105356,0.99,527,0.008,298,0.002
,0,1,2,3,4,5,6,7,8
0,7695495,5,78600,32108,0.99,130,0.008,94,0.002
,0,1,2,3,4,5,6,7,8
0,71975431233,5,17859,3265,0.97,45,0.02,36,0.01
,0,1,2,3,4,5,6,7,8
